sentence_en,start,end,duration,talks_id
"but I take these attacks personally, because my grandparents were.",445.828,449.828,4,45969
"My great-grandmother Rose didn't see her kids for seven years,",451.169,455.717,4.548,45969
as she tried to bring them from Poland to New York.,455.741,458.203,2.462,45969
She left my grandfather when he was seven,458.227,460.158,1.931,45969
and didn't see him again until he was 14.,460.182,462.203,2.021,45969
"On the other side of my family, ",462.227,463.823,1.596,45969
my grandmother Aliza left Poland in the 1930s,463.847,467.484,3.637,45969
"and left for what was then the British Mandate of Palestine,",467.508,470.381,2.873,45969
and she never saw her family and friends again.,470.405,472.651,2.246,45969
Global cooperation as a response to global migration and displacement,473.699,478.753,5.054,45969
would go a long way towards making migration something that isn't a crisis,478.777,483.262,4.485,45969
"but something that just is, ",483.286,484.639,1.353,45969
and that we deal with as a global community.,484.663,487.211,2.548,45969
Humanitarian aid is also critical. ,488.446,490.851,2.405,45969
The amount of support we provide to countries in Central America,490.875,493.876,3.001,45969
that are sending refugees and migrants ,493.9,496.329,2.429,45969
is a tiny fraction of the amount we spend on enforcement and detention.,496.353,501.548,5.195,45969
And we can absolutely have an asylum system that works.,502.714,506.483,3.769,45969
"For a tiny fraction of the cost of a wall, ",507.418,510.138,2.72,45969
"we could hire more judges, ",510.162,511.543,1.381,45969
make sure asylum seekers have lawyers ,511.567,513.797,2.23,45969
and commit to a humane asylum system. ,513.821,516.342,2.521,45969
(Applause) ,516.913,521.579,4.666,45969
And we could resettle more refugees. ,525.048,527.614,2.566,45969
To give you a sense of the decline in the refugee program:,528.076,531.249,3.173,45969
"three years ago, the US resettled 15,000 Syrian refugees",531.273,535.532,4.259,45969
in response to the largest refugee crisis on earth.,535.556,538.195,2.639,45969
"A year later, that number was 3,000. ",538.219,541.336,3.117,45969
"And last year, that number was 62 people. ",541.36,544.795,3.435,45969
62 people. ,546.067,547.798,1.731,45969
"Despite the harsh rhetoric and efforts to block immigration,",548.777,552.677,3.9,45969
"keep refugees out of the country, ",552.701,554.638,1.937,45969
"support for refugees and immigrants in this country, according to polls,",554.662,558.043,3.381,45969
has never been higher. ,558.067,559.31,1.243,45969
"Organizations like HIAS, where I work, ",559.334,561.275,1.941,45969
"and other humanitarian and faith-based organizations,",561.299,563.807,2.508,45969
make it easy for you to take a stand ,563.831,565.978,2.147,45969
when there's a law that's worth opposing ,566.002,568.572,2.57,45969
or a law that's worth supporting or a policy that needs oversight.,568.596,571.973,3.377,45969
"If you have a phone, ",572.443,573.794,1.351,45969
"you can do something, ",573.818,575.141,1.323,45969
"and if you want to do more, you can. ",575.165,576.913,1.748,45969
I will tell you that if you see one of these detention centers,576.937,580.533,3.596,45969
along the border ,580.557,581.812,1.255,45969
with children in them -- they're jails -- ,581.836,583.793,1.957,45969
you will never be the same. ,583.807,585.28,1.473,45969
What I loved so much about my call with Ellie,587.278,589.873,2.595,45969
was that she knew in her core that the stories of her grandparents,590.75,594.606,3.856,45969
"were no different than today's stories, ",595.495,597.634,2.139,45969
and she wanted to do something about it. ,597.658,599.724,2.066,45969
"If I leave you with one thing, ",600.932,603.278,2.346,45969
"beyond the backstory for Mr. Potato Head,",603.302,605.704,2.402,45969
"which is, of course, a good story to leave with,",605.728,609.156,3.428,45969
it's that a country shows strength ,609.18,613.328,4.148,45969
"through compassion and pragmatism, ",614.48,616.797,2.317,45969
not through force and through fear. ,616.821,618.728,1.907,45969
(Applause) ,619.406,625.399,5.993,45969
These stories of the Hassenfelds and my relatives and your relatives,629.097,633.263,4.166,45969
are still happening today; they're all the same.,633.287,635.837,2.55,45969
"A country is strong when it says to the refugee,",637.227,640.504,3.277,45969
"not, ""Go away,"" but, ",640.528,643.725,3.197,45969
"""It's OK, we've got you, you're safe."" ",643.749,646.566,2.817,45969
Thank you. ,647.07,648.233,1.163,45969
(Applause) ,648.257,651.082,2.825,45969
Thanks. ,651.106,652.312,1.206,45969
"In 1969 in July, ",12.791,15.309,2.518,45970
three Americans launched into space. ,15.333,18.267,2.934,45970
"Now, they went to the surface of the moon, ",18.291,20.684,2.393,45970
they famously made the great leap for mankind.,20.708,24.184,3.476,45970
"Buzz Aldrin, Neil Armstrong, they walked on the surface,",24.208,27.309,3.101,45970
they planted this flag. ,27.333,28.601,1.268,45970
It's rightly celebrated as a moment that in America we say is a triumph.,28.625,34.059,5.434,45970
We think it was this amazing accomplishment.,34.083,37.059,2.976,45970
"They didn't just leave behind this flag, though.",37.083,39.351,2.268,45970
They also left behind a plaque. ,39.375,40.852,1.477,45970
"This plaque is a beautiful object, ",40.876,42.517,1.641,45970
and one that I want to talk to you a little bit about.,42.541,45.101,2.56,45970
"First, you might notice that there's two globes,",45.125,47.364,2.239,45970
representing all of earth. ,47.388,48.642,1.254,45970
And then there's this beautiful statement: ,48.666,50.684,2.018,45970
"""We came in peace for all mankind."" ",50.708,52.392,1.684,45970
"Now, at first, this is just nice poetic language,",52.416,55.517,3.101,45970
but it's also set in a typeface that's perfect for this moment.,55.541,59.392,3.851,45970
"It seems industrial, it seems engineered. ",59.416,62.601,3.185,45970
It also is the best possible name ,62.625,64.197,1.572,45970
you could come up with for something on the moon: Futura.,64.221,68.017,3.796,45970
"Now, I want to talk to you about fonts, ",68.041,69.899,1.858,45970
and why this typeface is perfect for this moment.,69.923,72.267,2.344,45970
But it's actually more than just ceremonial.,72.291,74.375,2.084,45970
"Now, when all of you arrived here today, ",75.208,77.976,2.768,45970
you actually had to think about fonts. ,78,80.601,2.601,45970
"You might not realize it, ",80.625,81.892,1.267,45970
but you're all unconscious experts on typography.,81.916,84.892,2.976,45970
"Typography is the study of how fonts inhabit our world,",84.916,89.267,4.351,45970
they're the visual language of the words we use.,89.291,93.208,3.917,45970
"Here's the thing that's funny about this, though.",93.958,96.267,2.309,45970
"I know you're probably not like me, you're not a font nerd,",96.291,99.059,2.768,45970
"maybe some of you are, but if you're not, that's alright,",99.083,101.809,2.726,45970
because I might spend hours every day ,101.833,103.809,1.976,45970
"trying to pick the perfect typeface for the perfect project,",103.833,106.643,2.81,45970
"or I might spend thousands of dollars every year,",106.667,108.976,2.309,45970
trying to get ones with the right features.,109,111.059,2.059,45970
"But all of you actually spend hours every day, evaluating fonts.",111.083,114.226,3.143,45970
"If you don't believe me, think about how you got here.",114.25,116.809,2.559,45970
Each of you had to judge by the signs ,116.833,118.601,1.768,45970
"and maybe even on your phone, ",118.625,120.059,1.434,45970
which signals to trust and which to ignore.,120.083,123.559,3.476,45970
You were evaluating fonts. ,123.583,124.851,1.268,45970
"Or maybe when you're just buying a new product,",124.875,127.101,2.226,45970
you have to think about whether something is expensive,127.125,129.649,2.524,45970
or cheap or hard to get or easy to find. ,129.673,133.392,3.719,45970
"And the funny thing about it is, ",133.416,135.017,1.601,45970
"this may not seem extraordinary to you, ",135.041,136.899,1.858,45970
"but the moment you see something out of place,",136.923,139.226,2.303,45970
you recognize it right away. ,139.25,140.601,1.351,45970
(Laughter) ,140.625,143.017,2.392,45970
"The thing I love about typography, ",143.041,144.726,1.685,45970
"and why I love fonts and why I love Futura,",144.75,147.017,2.267,45970
"is that, for me, what I study is everywhere.",147.041,150.892,3.851,45970
"Every street that I walk down, every book that I pick up,",150.916,153.601,2.685,45970
every thing that I read is filled with the thing I love.,153.625,158.767,5.142,45970
"Now, once you understand the history and what happens with typography,",158.791,163.101,4.31,45970
you actually have a history of everything before you.,163.125,166.517,3.392,45970
And this is the typeface Futura. ,166.541,168.767,2.226,45970
"As previously we've discussed, this is modernism in miniature.",168.791,172.184,3.393,45970
This is a way in which modernism infiltrated this country,172.208,174.976,2.768,45970
"and became perhaps the most popular, or promiscuous typeface,",175,178.226,3.226,45970
of the twentieth century. ,178.25,180.226,1.976,45970
"""Less is more,"" right, these are the aphorisms of modernism.",180.25,183.559,3.309,45970
"And in the visual arts, the same thing happened.",183.583,185.851,2.268,45970
"Let's focus on the essentials, focus on the basic shapes,",185.875,188.559,2.684,45970
focus on geometry. ,188.583,189.851,1.268,45970
So Futura actually holds this to its core. ,189.875,192.601,2.726,45970
You might notice that the shapes inherent in Futura,192.625,195.059,2.434,45970
"have circles, squares, triangles. ",195.083,196.809,1.726,45970
"Some of the shapes are all based on circles,",196.833,198.934,2.101,45970
"like the O, D and C, ",198.958,200.226,1.268,45970
or others have this pointed apex of the triangle.,200.25,203.726,3.476,45970
Others just look like they might have been made,203.75,205.976,2.226,45970
with a ruler or a compass. ,206,207.309,1.309,45970
"They feel geometric, they feel mathematic, precise.",207.333,210.017,2.684,45970
"In fact, this whole system carries through with the way",210.041,212.642,2.601,45970
that the typeface was designed. ,212.666,214.184,1.518,45970
"To not look like it was made like other typefaces, to be something new.",214.208,217.559,3.351,45970
"Here it is in the lightweight, the medium weight and the bold weight.",217.583,221.809,4.226,45970
The whole family has different things to commend to it.,221.833,224.809,2.976,45970
"This was a conscious break from the past, ",224.833,226.809,1.976,45970
"something that looked like it was made by a machine, and not by hand.",226.833,230.101,3.268,45970
"When I say not made by hand, this is what I mean.",230.125,232.434,2.309,45970
"This is what we think about maybe, ",232.458,234.101,1.643,45970
when you might create something with a calligraphic brush or a pen.,234.125,237.726,3.601,45970
That there's thicks and thins. ,237.75,239.184,1.434,45970
"And even more traditional typefaces, say like a Garamond,",239.208,242.601,3.393,45970
holds vestiges of this old system ,242.625,244.392,1.767,45970
in which you can see the A where it get little bit thinner at the top,244.416,247.684,3.268,45970
"and thicker down below, ",247.708,248.976,1.268,45970
because it's trying to look like someone had made it by hand.,249,251.892,2.892,45970
"But Futura, in contrast, ",251.916,253.226,1.31,45970
"is designed to look like no one had touched it at all,",253.25,255.809,2.559,45970
"that this was made by a machine, ",255.833,257.392,1.559,45970
"for a machine age, for an industrial age. ",257.416,259.392,1.976,45970
There's actually a sleight of hand here ,259.416,261.476,2.06,45970
"that Paul Renner, the designer who made this in 1927, employed.",261.5,265.226,3.726,45970
If you look at the way in which ,265.25,266.767,1.517,45970
"the circular shape joins with the vertical shaft,",266.791,269.725,2.934,45970
you'll notice that it tapers just every so slightly.,269.749,272.975,3.226,45970
And this is one of hundreds of ways ,272.999,274.726,1.727,45970
"in which this typeface was designed to look geometrically perfect,",274.75,277.892,3.142,45970
even though it's mathematically not. ,277.916,279.684,1.768,45970
And this is what typeface designers do all the time,279.708,282.101,2.393,45970
"to make typefaces work, every day. ",282.125,284.767,2.642,45970
"Now, there were other designers doing this at the same time in Europe and America.",284.791,288.684,3.893,45970
"These are a few other excellent examples from Europe,",288.708,291.226,2.518,45970
"trying to create something new for the new age, a new moment in time.",291.25,294.517,3.267,45970
These are some other ones in Germany ,294.541,296.309,1.768,45970
"that in some ways look very similar to Futura,",296.333,298.517,2.184,45970
maybe with higher waist or lower waist or different proportions.,298.541,301.601,3.06,45970
Then why did Futura take over the world? ,301.625,303.559,1.934,45970
"In this case, if you can read the titles there,",303.583,306.101,2.518,45970
some of these names don't quite roll off the tongue:,306.125,308.892,2.767,45970
"Erbar, Kabel Light, Berthold-Grotesk, Elegant-Grotesk.",308.916,314.267,5.351,45970
"These aren't exactly household names, are they?",314.291,316.517,2.226,45970
"And so when you compare that to Futura, ",316.541,319.226,2.685,45970
you realize that this was a really good choice by the marketing team.,319.25,322.517,3.267,45970
What's amazing about this name -- ,322.541,324.267,1.726,45970
"you know, what's in this name is that this is a name",324.291,326.934,2.643,45970
that actually invokes hope and an idea about the future.,326.958,330.642,3.684,45970
"And this isn't actually the word for future in German,",330.666,333.19,2.524,45970
"it wasn't a German name, ",333.214,334.476,1.262,45970
they actually picked something ,334.5,335.976,1.476,45970
"that would speak to a wider, larger audience, a universal audience.",336,339.184,3.184,45970
And when you compare it to what was being done in America --,339.208,342.059,2.851,45970
these are the typefaces from the same period,342.083,344.184,2.101,45970
"in the United States in the 1920s, ",344.208,345.851,1.643,45970
"bold, brash, braggadocios. ",345.875,347.184,1.309,45970
You almost think of this as exactly like what the stock market looked like,347.208,350.726,3.518,45970
when they were all going nuts in the 1920s.,350.75,352.809,2.059,45970
And you realize that Futura is doing something revolutionary.,352.833,355.726,2.893,45970
I want to step back and talk about an example of the typeface in use.,355.75,359.934,4.184,45970
"So this is a magazine that we all probably know today, ""Vanity Fair.""",359.958,363.226,3.268,45970
"This is what it looked like in 1929, in the summer.",363.25,366.601,3.351,45970
"And in many ways, there's nothing wrong with this design.",366.625,370.017,3.392,45970
This is absolutely typical of the 1920s. ,370.041,372.642,2.601,45970
"There's a photograph of an important person,",372.666,374.767,2.101,45970
"in this case Franklin Roosevelt, then-governor of New York.",374.791,377.601,2.81,45970
"Everything seems centered, everything seems symmetrical.",377.625,380.267,2.642,45970
"There's still a little bit of ornamentation,",380.291,382.392,2.101,45970
so this is still maybe having some vestiges of the painted lady,382.416,385.392,2.976,45970
and not fully modernistic. ,385.416,386.684,1.268,45970
But everything seems kid of solid. ,386.708,388.351,1.643,45970
There's even drop caps to help you get into the text.,388.375,390.892,2.517,45970
"But this all changed very quickly and in October of 1929,",390.916,393.642,2.726,45970
"a Berlin-based designer came and redesigned ""Vanity Fair.""",393.666,396.642,2.976,45970
And this is what it looks like with Futura.,396.666,399.851,3.185,45970
Instead of the governor ,399.875,401.726,1.851,45970
"now we have a photograph of an abstract, beautiful setting,",401.75,404.642,2.892,45970
"in this case, the ocean. ",404.666,406.184,1.518,45970
"Instead of drop caps, there's nothing at all.",406.208,408.434,2.226,45970
And replaced with a centered layout is now asymmetry.,408.458,412.517,4.059,45970
And it gets even more radical the further you enter the magazine.,412.541,415.601,3.06,45970
"In this case, even more dramatic asymmetry.",415.625,417.642,2.017,45970
"In this case, illustrations by Pablo Picasso, moving across the page",417.666,420.934,3.268,45970
and breaking the gutter of the two pages. ,420.958,424.851,3.893,45970
And there's something even more radical. ,424.875,426.809,1.934,45970
"If you look closely at the Futura, you might notice something.",426.833,429.767,2.934,45970
"You might not pick it up at first, ",429.791,431.434,1.643,45970
but there are no capital letters in the title or the captions on this page.,431.458,435.017,3.559,45970
"You might not think that's very radical, ",435.041,436.976,1.935,45970
"but pick up any magazine, any book or go to any website,",437,439.642,2.642,45970
"and I guarantee, you are not going to find it very easily.",439.666,442.434,2.768,45970
This is still a radical idea. ,442.458,444.851,2.393,45970
And why is that radical? ,444.875,446.142,1.267,45970
"When we think about what capital letters denote,",446.166,449.142,2.976,45970
"they denote something important, ",449.166,450.976,1.81,45970
"whether it's our names, or our titles. ",451,453.142,2.142,45970
"Or maybe even just the name of our corporations,",453.166,456.101,2.935,45970
or maybe our trademarks. ,456.125,457.851,1.726,45970
"Actually, in some ways, America's the home of capitalization.",457.875,461.309,3.434,45970
We love putting capitals in everything. ,461.333,463.226,1.893,45970
(Laughter) ,463.25,464.892,1.642,45970
But think about how radical this would be ,464.916,466.892,1.976,45970
to introduce a magazine where you're taking away all the capital letters.,466.916,471.226,4.31,45970
This has maybe had the same political force,471.25,473.309,2.059,45970
that we now argue over things like pronouns in our society today.,473.333,477.059,3.726,45970
"In the 1920s, ",477.083,478.642,1.559,45970
this is just shortly after Soviet Russia had a communist revolution.,478.666,483.291,4.625,45970
"And for them, this actually represented a socialist infiltration into America.",484.208,488.851,4.643,45970
"All lowercase letters meant that this was an egalitarian,",488.875,492.726,3.851,45970
complete lowering of everything into one equal playing field.,492.75,496.767,4.017,45970
Now this is still kind of a radical idea. ,496.791,498.767,1.976,45970
Think about how often you do capitalize something,498.791,501.077,2.286,45970
to have more power or prestige to it. ,501.101,502.892,1.791,45970
So for them to do this was a way in which Futura was using this idea.,502.916,507.101,4.185,45970
"Now, other designers were doing other things with Futura.",507.125,510.309,3.184,45970
"Others brought other ideas of modernism with it,",510.333,512.601,2.268,45970
"whether it was interesting new illustration styles,",512.625,515.017,2.392,45970
or interesting new collage types of illustration.,515.041,517.892,2.851,45970
"Or even just new book covers, ",517.916,519.976,2.06,45970
whether they were from Europe. ,520,522.101,2.101,45970
But here's the funny thing. ,522.125,523.976,1.851,45970
"In the 1920s, if you wanted to use a new typeface,",524,526.351,2.351,45970
you couldn't just go download it onto your computer.,526.375,528.809,2.434,45970
You actually had to have pieces of lead. ,528.833,531.016,2.183,45970
So for Americans who wanted to adopt this ,531.04,533.101,2.061,45970
"and make it part of their own system, ",533.125,535.141,2.016,45970
"something they could use in everyday typography,",535.165,538.017,2.852,45970
"whether in ads or anything else, ",538.041,539.684,1.643,45970
they actually had to have metal type. ,539.708,541.892,2.184,45970
"So being good American capitalists, what did we do?",541.916,544.351,2.435,45970
We made all sorts of copies. ,544.375,545.767,1.392,45970
"Ones that had nothing to do with the name Futura,",545.791,548.101,2.31,45970
"but looked identical to it, ",548.125,549.976,1.851,45970
whether it was Spartan or Tempo. ,550,551.559,1.559,45970
"And in fact, by the time that World War II started,",551.583,554.309,2.726,45970
American corporations were actually trying to boycott Nazi goods.,554.333,557.767,3.434,45970
"But they said, ""Go ahead and use our copies.",557.791,560.267,2.476,45970
"Use 20th Century, use Spartan, use Vogue, use Tempo.",560.291,562.976,2.685,45970
"These are identical to Futura."" ",563,565.309,2.309,45970
"And in fact, for most people, they didn't even learn the new names,",565.333,568.517,3.184,45970
they just still called it all Futura. ,568.541,570.309,1.768,45970
"So America took this typeface in, ",570.333,572.892,2.559,45970
conquered it and made it its own. ,572.916,574.892,1.976,45970
"So by the time World War II finishes, ",574.916,577.809,2.893,45970
"Americans are using this on everything, ",577.833,579.691,1.858,45970
"whether it be catalogs, or atlases, ",579.715,581.934,2.219,45970
"or encyclopedias or charts and graphs, ",581.958,585.267,3.309,45970
"or calendars, or even political material. ",585.291,588.934,3.643,45970
And even the logo for a new expansion football team.,588.958,592.041,3.083,45970
"And in fact, it was used even on some of the most important advertising",593,596.392,3.392,45970
of the 20th century. ,596.416,597.726,1.31,45970
So it's in this context ,597.75,599.059,1.309,45970
that when the US government was picking a typeface,599.083,601.434,2.351,45970
"to use after World War II for new maps and new projects,",601.458,604.078,2.62,45970
they picked Futura. ,604.102,605.351,1.249,45970
"It wasn't an astounding choice, it wasn't a radical choice,",605.375,608.184,2.809,45970
it didn't have anything to do with communism.,608.208,610.351,2.143,45970
"But in this case, it was used on some of the most important maps,",610.375,613.476,3.101,45970
"so this one, an air force map in 1962, ",613.5,615.351,1.851,45970
or used for the maps in Vietnam in '66. ,615.375,617.791,2.416,45970
And so it wasn't a surprise ,618.791,620.101,1.31,45970
"that when astronauts first started the Mercury program,",620.125,623.184,3.059,45970
"such as John Glenn orbiting the earth, ",623.208,625.018,1.81,45970
that charts and maps that he was using were in Futura.,625.042,627.642,2.6,45970
"And in fact, by the time Mercury morphed into Apollo,",627.666,631.684,4.018,45970
it started getting used more and more for more things.,631.708,634.309,2.601,45970
"So in this case for a safety plan, ",634.333,636.976,2.643,45970
"or even starting to get used on instrument panels,",637,639.601,2.601,45970
or navigational aids. ,639.625,641.309,1.684,45970
Or even on diagrams to show how the whole system worked.,641.333,644.476,3.143,45970
"But here's the amazing thing, ",644.5,645.892,1.392,45970
it didn't just get used for papers that they handed out to people.,645.916,649.017,3.101,45970
"It started to get used for an interface, ",649.041,650.976,1.935,45970
for an entire system that helped the astronauts,651,653.226,2.226,45970
know how to use the machine. ,653.25,654.767,1.517,45970
NASA wasn't just one big corporation making everything.,654.791,658.642,3.851,45970
There was hundreds of contractors -- ,658.666,660.517,1.851,45970
"Boeing, IBM, McDonnell Douglas -- ",660.541,662.934,2.393,45970
all making different machines. ,662.958,664.392,1.434,45970
Now imagine if astronauts had to use different typefaces and different systems,664.416,668.101,3.685,45970
for each component they had in the space shuttles.,668.125,671.517,3.392,45970
This would have been impossible to navigate,671.541,673.559,2.018,45970
and there would have been a cognitive overload,673.583,675.726,2.143,45970
every time they had to open up a new system.,675.75,677.851,2.101,45970
"So in this case, Futura being used on the interface",677.875,680.517,2.642,45970
helped them navigate complexity and make it more clear.,680.541,684.017,3.476,45970
"And it wasn't just used on buttons, it was used on labels,",684.041,687.184,3.143,45970
"and it was used on their food rations, ",687.208,689.018,1.81,45970
and it was used on their tool kits. ,689.042,691.226,2.184,45970
It was used on knobs and levers to tell them what to do.,691.25,695.309,4.059,45970
"In fact, maybe even some of the places ",695.333,697.184,1.851,45970
"where they needed to have things that were complex be more simple to them,",697.208,700.685,3.477,45970
"instructions were printed entirely in Futura,",700.709,703.267,2.558,45970
so that they could know what to do with that one moment.,703.291,705.934,2.643,45970
"They didn't have to remember everything in their head,",705.958,708.517,2.559,45970
they could have it out there in the world to see and refer to.,708.541,711.476,2.935,45970
"In this case, Futura helped make that system,",711.5,713.642,2.142,45970
"which was already a very difficult and complex system,",713.666,716.976,3.31,45970
a little less complex. ,717,718.375,1.375,45970
"In fact, the very first or last thing an astronaut might have seen",719.041,722.184,3.143,45970
when they were entering or exiting the spacecraft,722.208,724.517,2.309,45970
would have been in Futura. ,724.541,725.809,1.268,45970
One of my favorite examples of how Futura worked in this way,725.833,728.976,3.143,45970
is actually this camera. ,729,730.309,1.309,45970
This is a Hasselblad that was made by the Swedish company.,730.333,734.559,4.226,45970
"It's a perfectly good camera, some of you might have used one,",734.583,737.517,2.934,45970
it's prized by photographers as a really great camera.,737.541,741.392,3.851,45970
"And you might notice, if you know anything about cameras,",741.416,744.101,2.685,45970
that there's some modifications made to it.,744.125,746.184,2.059,45970
"In this case, there are stickers placed all over the film canisters,",746.208,749.434,3.226,45970
or other parts of the camera here. ,749.458,752.184,2.726,45970
"What this enabled NASA to do, ",752.208,754.267,2.059,45970
was make something really great out of the astronauts.,754.291,757.767,3.476,45970
"They're not photographers, they're not experts in art.",757.791,760.476,2.685,45970
But they could ensure that they would know how to use this camera,760.5,763.642,3.142,45970
because of the labels placed there in Futura.,763.666,765.851,2.185,45970
"So in this case, ",765.875,767.142,1.267,45970
Futura acquired and made sure that they had legitimacy,767.166,770.976,3.81,45970
with the things they were using. ,771,772.601,1.601,45970
In this case to not take off the film before it would expose.,772.625,775.767,3.142,45970
"Which, in this case, we would have never had",775.791,777.892,2.101,45970
some of the amazing photos we had without this label.,777.916,780.434,2.518,45970
"When we see something as decorative as this, a ceremonial patch,",780.458,786.059,5.601,45970
"or something like this plaque on the moon, ",786.083,788.267,2.184,45970
"we realize that Futura was more than just something ceremonial,",788.291,791.392,3.101,45970
something more than something that had just been picked for its design.,791.416,796.059,4.643,45970
"In fact, Futura had authority, ",796.083,798.767,2.684,45970
had legitimacy and had power because of this choice.,798.791,801.267,2.476,45970
There's one other thing I want to talk about in closing.,801.291,804.476,3.185,45970
And that is that Futura tells a story. ,804.5,807.976,3.476,45970
"And this is what I love about typefaces, is that all of them tell stories.",808,812.184,4.184,45970
"And in this case, this typeface tells a very powerful story",812.208,815.017,2.809,45970
"about assimilation, about something being taken into America",815.041,818.434,3.393,45970
and being made part of its culture. ,818.458,820.892,2.434,45970
"And that's one of the best and worst things America does,",820.916,823.642,2.726,45970
is we take things into our culture and we spit them out back again,823.666,826.767,3.101,45970
and claim them our own. ,826.791,828.059,1.268,45970
"And in this case, Futura mirrors exactly what happened with the technology",828.083,831.684,3.601,45970
undergirding the whole system. ,831.708,833.351,1.643,45970
"Futura was a German typeface, taken in, made into an American commodity.",833.375,837.809,4.434,45970
And so were the technologies: ,837.833,839.267,1.434,45970
"the rockets, the scientists all came from Germany as well.",839.291,842.059,2.768,45970
"So in some ways, this German typeface on an American plaque",842.083,845.309,3.226,45970
perfectly mirrors what happened with the technology.,845.333,847.767,2.434,45970
"And in this case, ",847.791,849.059,1.268,45970
"when you think about this story, you realize that typography on the moon",849.083,854.559,5.476,45970
"represents legitimacy, represents authority,",854.583,857.434,2.851,45970
"and this gave them, the astronauts, the power to get to the moon.",857.458,861.142,3.684,45970
Thank you. ,861.166,862.434,1.268,45970
I'm an historian. ,12.513,14.125,1.612,45972
And what I love about being an historian is it gives you perspective.,14.149,18.166,4.017,45972
"Today, I'd like to bring that perspective to education in the United States.",18.645,23.164,4.519,45972
About the only thing people can agree on ,23.68,26.451,2.771,45972
is that the most strategic time for a child to start learning,26.475,30.332,3.857,45972
is early. ,30.356,31.829,1.473,45972
"Over 50 years ago, ",31.853,33.228,1.375,45972
there was a watershed moment in early education in the US,33.252,36.742,3.49,45972
"called ""Head Start."" ",36.766,38.078,1.312,45972
"Now, historians love watersheds ",38.546,40.626,2.08,45972
because it makes it so easy to talk about what came before,40.65,43.857,3.207,45972
and what's happened since. ,43.881,45.606,1.725,45972
"Before Head Start, basically nothing. ",45.63,48.249,2.619,45972
"With Head Start, ",48.821,50.216,1.395,45972
we began to get our nation's most at-risk children ready for school.,50.24,55.453,5.213,45972
"Since Head Start, we've made strides, ",55.477,58.419,2.942,45972
but there are still 2.2 million children in the US,58.443,62.226,3.783,45972
"without access to early learning, ",62.25,64.59,2.34,45972
or more than half of the four-year-olds in the country.,64.614,67.802,3.188,45972
That's a problem. ,68.571,70.213,1.642,45972
But the bigger problem is what we know happens to those children.,70.237,73.717,3.48,45972
At-risk children who reach school without basic skills,74.138,77.608,3.47,45972
"are 25 percent more likely to drop out, ",77.632,80.672,3.04,45972
40 percent more likely to become teen parents,80.696,83.405,2.709,45972
and 60 percent less likely to go to college.,83.429,86.574,3.145,45972
"So if we know how important early education is,",87.236,90.145,2.909,45972
why aren't all children getting it? ,90.169,92.349,2.18,45972
There are barriers that the solutions we've come up with to date,93.032,96.871,3.839,45972
simply can't overcome. ,96.895,98.764,1.869,45972
Geography: think rural and remote. ,99.296,102.056,2.76,45972
Transportation: think working parents everywhere.,102.08,105.978,3.898,45972
Parent choice: no state requires a four-year-old to go to school.,106.002,110.778,4.776,45972
And cost: the average cost for a state to educate a preschooler,110.802,115.898,5.096,45972
is five thousand dollars a year. ,115.922,118.233,2.311,45972
So am I just going to keep talking about problems?,119.632,122.621,2.989,45972
No. ,122.645,123.813,1.168,45972
"Today, I want to tell you about a cost-effective, technology-delivered,",123.837,128.904,5.067,45972
kindergarten-readiness program that can be done in the home.,128.928,133.11,4.182,45972
"It's called UPSTART, ",133.134,134.49,1.356,45972
"and more than 60,000 preschoolers in the US have already used it.",134.514,139.005,4.491,45972
"Now, I know what you might be thinking: ",139.636,141.593,1.957,45972
here's another person throwing tech at a national problem.,141.617,145.548,3.931,45972
And you'd be partially right. ,146.06,147.707,1.647,45972
"We develop early learning software designed to individualize instruction,",148.06,152.984,4.924,45972
so children can learn at their own pace. ,153.008,155.92,2.912,45972
"To do that, we rely on experts from fields ranging from reading to sociology",155.944,161.262,5.318,45972
"to brain science development to all aspects of early learning,",161.286,165.203,3.917,45972
to tell us what the software should do and look like.,165.227,168.73,3.503,45972
Here's an example. ,168.754,170.042,1.288,45972
"(Video) Zero (sings to the tune of ""Day-O""): Zero!",170.066,172.812,2.746,45972
Zero! ,172.836,175.347,2.511,45972
Zero is the number that's different from the others.,176.203,180.487,4.284,45972
"Seagulls: Zero is a big, round ""O."" ",180.511,183.591,3.08,45972
"Zero: It's not like one, I'm sure you'll discover.",183.615,187.923,4.308,45972
"Seagulls: Zero is a big, round ""O."" ",187.947,191.334,3.387,45972
(Laughter) ,191.358,192.435,1.077,45972
"Claudia Miner: That is ""The Zero Song."" ",192.459,195.314,2.855,45972
(Laughter) ,195.338,197.033,1.695,45972
And here are Odd Todd and Even Steven to teach you some things about numbers.,197.057,202.514,5.457,45972
"And here are the Word Birds, ",202.538,203.884,1.346,45972
"and they're going to show you when you blend letter sounds together,",203.908,207.317,3.409,45972
you can form words. ,207.341,208.848,1.507,45972
"You can see that instruction is short, colorful and catchy,",209.245,213.212,3.967,45972
designed to capture a child's attention. ,213.236,215.889,2.653,45972
But there's another piece to UPSTART ,216.924,219.083,2.159,45972
that makes it different and more effective.,219.107,221.85,2.743,45972
UPSTART puts parents in charge of their children's education.,221.874,226.174,4.3,45972
"We believe, with the right support, ",226.559,229.137,2.578,45972
all parents can get their children ready for school.,229.161,234.182,5.021,45972
